Weighted Combination,,Neutrino,,Antineutrino,,Result,
X,Y,X,Y,X,Y,X,Y
2.5146341463414634,0.5615384615384615,2.529268292682927,0.6423076923076922,2.529268292682927,0.35961538461538456,3.8024390243902433,0.6
2.631707317073171,0.5576923076923077,2.704878048780488,0.6384615384615384,2.704878048780488,0.35769230769230764,3.860975609756098,0.5807692307692307
2.7926829268292686,0.5538461538461539,2.8658536585365857,0.6307692307692307,2.8512195121951214,0.35769230769230764,3.934146341463415,0.5615384615384615
2.939024390243902,0.5499999999999999,3.012195121951219,0.6230769230769231,2.9975609756097557,0.35769230769230764,4.007317073170731,0.5384615384615384
3.085365853658536,0.5423076923076922,3.1585365853658534,0.6115384615384615,3.14390243902439,0.35769230769230764,4.080487804878048,0.5192307692307692
3.2317073170731705,0.5346153846153846,3.3048780487804876,0.6,3.290243902439024,0.3538461538461538,4.168292682926829,0.4923076923076922
3.3780487804878048,0.5192307692307692,3.451219512195122,0.5769230769230769,3.451219512195122,0.35,4.2560975609756095,0.4653846153846153
3.524390243902439,0.49999999999999994,3.597560975609756,0.5538461538461539,3.597560975609756,0.3423076923076923,4.329268292682927,0.4423076923076923
3.6707317073170724,0.4807692307692307,3.7439024390243896,0.5307692307692307,3.7439024390243896,0.33846153846153837,4.431707317073171,0.4115384615384615
3.8170731707317067,0.45769230769230773,3.890243902439024,0.49615384615384617,3.890243902439024,0.32307692307692304,4.519512195121951,0.3846153846153846
3.963414634146341,0.42692307692307685,4.036585365853658,0.45769230769230773,4.021951219512195,0.3076923076923076,4.607317073170732,0.35769230769230764
4.095121951219512,0.3961538461538461,4.182926829268292,0.41538461538461535,4.1536585365853655,0.29230769230769227,4.695121951219512,0.33461538461538454
4.226829268292683,0.3634615384615384,4.329268292682927,0.3769230769230768,4.285365853658536,0.2769230769230768,4.782926829268292,0.3076923076923076
4.3585365853658535,0.33461538461538454,4.431707317073171,0.35,4.417073170731707,0.2615384615384615,4.9,0.28076923076923066
4.504878048780488,0.29999999999999993,4.519512195121951,0.32692307692307687,4.548780487804878,0.24230769230769222,5.017073170731708,0.2499999999999999
4.636585365853659,0.26923076923076916,4.607317073170732,0.30384615384615377,4.680487804878049,0.22307692307692295,5.119512195121951,0.2269230769230769
4.782926829268292,0.2384615384615384,4.695121951219512,0.28076923076923066,4.797560975609756,0.20769230769230762,5.236585365853659,0.2038461538461538
4.929268292682926,0.20961538461538454,4.81219512195122,0.25384615384615383,4.943902439024391,0.18846153846153846,5.353658536585366,0.18076923076923068
5.075609756097561,0.18461538461538451,4.929268292682926,0.2269230769230769,5.075609756097561,0.16923076923076918,5.514634146341463,0.15384615384615374
5.221951219512195,0.1576923076923077,5.0024390243902435,0.21153846153846145,5.192682926829268,0.1499999999999999,5.660975609756098,0.13076923076923064
5.368292682926829,0.1384615384615384,5.090243902439025,0.18846153846153846,5.309756097560975,0.13461538461538458,5.8219512195121945,0.11153846153846136
5.514634146341463,0.11923076923076925,5.236585365853659,0.16538461538461524,5.412195121951219,0.12307692307692297,5.982926829268293,0.0923076923076922
5.660975609756098,0.09999999999999998,5.368292682926829,0.14615384615384608,5.529268292682927,0.11153846153846136,,
5.807317073170731,0.08846153846153837,5.529268292682927,0.12307692307692297,5.631707317073171,0.09999999999999998,,
5.982926829268293,0.0692307692307691,5.67560975609756,0.10384615384615381,5.7926829268292686,0.08461538461538454,,
,,5.8219512195121945,0.08846153846153837,5.895121951219512,0.07692307692307687,,
,,5.9975609756097565,0.07307692307692293,5.9975609756097565,0.0692307692307691,,
